年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
2004,Neutral,Neutral,Neutral,46,76,89,150,268,326,340,339,351,6.1,9,10.9,16.2,20.5,24,28.7,28.6,24.6,19,15.1,10.7,17.8,15.866666666666667,27.100000000000005,19.566666666666666,8.133333333333333,7.733333333333334
2005,Neutral,Neutral,Neutral,26,88,96,155,271,325,338,335,347,6.4,6.1,9.6,16.7,19.4,24.8,27.6,28.4,26,20.5,14.4,6,17.2,15.233333333333333,26.933333333333337,20.3,7.733333333333334,6.866666666666667
2006,Neutral,Neutral,LaNina,45,82,93,159,268,322,335,337,347,6.9,7.7,10.1,14.6,19.2,23.2,27.3,29,23.3,20.6,15,9.5,17.2,14.633333333333333,26.5,19.633333333333336,6.866666666666667,8.966666666666667
2007,LaNina,LaNina,LaNina,29,80,90,158,268,322,337,332,337,7.6,9.8,11.3,15.1,20.4,23.8,26.3,29.4,27,20.9,14.1,9.8,18,15.6,26.5,20.666666666666668,8.966666666666667,7.866666666666667
2008,LaNina,LaNina,ElNino,23,83,92,155,265,313,333,331,339,7.5,6.3,10.7,15,19.4,22.2,29,27.6,25,20.3,13.4,9.1,17.1,15.033333333333331,26.26666666666667,19.566666666666666,7.866666666666667,8.433333333333334
2009,ElNino,ElNino,LaNina,28,72,82,152,262,324,345,335,345,6.4,9.8,11.7,15.6,19.9,23.6,26.8,27.6,24.4,19.7,13.7,8.9,17.3,15.733333333333333,26,19.266666666666666,8.433333333333334,8.299999999999999
2010,LaNina,LaNina,LaNina,29,73,84,158,277,316,333,337,343,6.6,9.4,10.9,13.8,19.2,23.5,27.7,30.3,26.3,20,13.2,8.8,17.5,14.633333333333335,27.166666666666668,19.833333333333332,8.299999999999999,6.933333333333334
2011,LaNina,LaNina,Neutral,41,81,92,159,270,318,335,344,363,3.8,8.2,8.8,14.7,19.8,23.9,27.9,28.5,25.2,19.7,16.3,8.5,17.1,14.433333333333332,26.766666666666666,20.400000000000002,6.933333333333334,6.833333333333333
2012,Neutral,Neutral,Neutral,45,86,91,155,260,331,343,332,344,6.3,5.7,10.7,16.2,20.1,23.1,28,29.1,24.5,19.2,12.9,7.6,17,15.666666666666666,26.733333333333334,18.866666666666667,6.833333333333333,7.166666666666667
2013,Neutral,Neutral,Neutral,33,72,81,154,270,336,346,344,346,6.1,7.8,12.3,14.7,20.3,23.7,30,30,25.2,20.7,13.4,8.1,17.7,15.766666666666666,27.900000000000002,19.766666666666666,7.166666666666667,7.733333333333333
2014,Neutral,Neutral,ElNino,31,78,86,155,255,332,345,NA,351,7.5,7.6,11.5,15.6,20.5,22.6,27.1,26.5,24.2,19.7,14.7,7.6,17.1,15.866666666666667,25.400000000000002,19.53333333333333,7.733333333333333,7.7
2015,ElNino,ElNino,ElNino,28,81,88,153,253,341,350,350,351,7.9,7.6,11.1,16.2,20.7,22.6,26,27.4,23.2,18.9,16,10.3,17.3,16,25.333333333333332,19.366666666666664,7.7,8.4
2016,ElNino,ElNino,LaNina,31,78,89,154,274,340,348,344,354,7,7.9,11.5,16.8,20.8,23.6,28.3,29.3,25.1,21.3,14.5,10.5,18.1,16.366666666666667,27.066666666666666,20.3,8.4,8.733333333333333
2017,LaNina,LaNina,LaNina,19,84,95,153,271,332,345,334,342,7.4,8.3,10.5,16.5,21,23.1,29.4,29.5,24.3,19.8,13.6,7.4,17.6,16,27.333333333333332,19.233333333333334,8.733333333333333,6.433333333333334
2018,LaNina,LaNina,ElNino,42,78,86,151,269,334,341,339,346,5.7,6.2,11.9,17.1,20.8,23.7,28.7,30,24.8,19.1,14.3,10.2,17.7,16.599999999999998,27.46666666666667,19.400000000000002,6.433333333333334,9.200000000000001
2019,ElNino,ElNino,LaNina,10,80,88,154,266,337,350,342,352,8,9.4,11.9,15.4,21.1,23.4,26.4,28,25.9,20.5,14.9,10.3,17.9,16.133333333333336,25.933333333333334,20.433333333333334,9.200000000000001,9.833333333333334
2020,LaNina,LaNina,LaNina,20,80,92,155,267,337,348,339,362,9.5,9.7,12.4,14.1,20.4,24.9,25.5,30.2,24.5,19.4,15.3,8.5,17.9,15.633333333333333,26.866666666666664,19.733333333333334,9.833333333333334,8.566666666666666
2021,LaNina,LaNina,LaNina,32,71,81,152,262,329,343,335,347,7,10.2,13.5,16.7,20.4,24.2,28.9,27.5,25.9,21,13.9,9.1,18.2,16.866666666666664,26.866666666666664,20.266666666666666,8.566666666666666,7.433333333333334
2022,LaNina,LaNina,ElNino,23,76,86,149,269,332,348,340,352,6.9,6.3,12.7,16.4,20.6,24.8,28.9,29.8,25.7,19.6,16.2,7.7,18,16.566666666666666,27.833333333333332,20.5,7.433333333333334,7.966666666666666
2023,ElNino,ElNino,ElNino,35,77,85,152,271,326,341,334,346,7.2,9,13.6,16.7,20.2,24.4,28.9,29.7,26.9,19.8,15.1,9.9,18.5,16.833333333333332,27.666666666666668,20.6,7.966666666666666,9.366666666666667
2024,ElNino,ElNino,NA,11,86,92,159,276,345,361,340,350,8.3,9.9,11.5,17.6,20.2,23.9,29.9,30.5,28.8,22,15.7,9.1,19,16.433333333333334,28.099999999999998,22.166666666666668,9.366666666666667,9.1
