年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
2001,Neutral,Neutral,ElNino,99,102,105,183,231,313,330,319,330,1.7,1.1,3.3,11.4,16.6,20,25.4,23.6,19.9,14,7.3,1,11.6,10.433333333333334,23,13.733333333333333,1.5,1.0333333333333334
2002,ElNino,ElNino,ElNino,85,93,96,183,228,317,323,325,337,0.6,1.5,6.1,12.2,15,19.2,24.6,25.3,20,14,4.4,1.4,12,11.1,23.03333333333333,12.799999999999999,1.0333333333333334,0.9
2003,ElNino,ElNino,Neutral,101,104,107,182,221,304,323,335,352,0.5,0.8,3.1,10.7,16.3,20.6,20.2,23.2,20.3,12.8,8.6,4.3,11.7,10.033333333333333,21.333333333333332,13.9,0.9,1.8666666666666665
2004,Neutral,Neutral,Neutral,82,100,103,180,235,308,320,328,352,0.5,0.8,4.1,10.8,16.7,21.2,25.1,24.2,21.6,13.4,10.3,3.7,12.6,10.533333333333333,23.5,15.1,1.8666666666666665,1.6666666666666667
2005,Neutral,Neutral,Neutral,95,109,113,185,231,NA,NA,334,348,0.3,1,2.4,10.3,14.1,21.8,23,25.4,21.3,15,7.5,0.4,11.6,8.933333333333334,23.399999999999995,14.6,1.6666666666666667,0.9333333333333335
2006,Neutral,Neutral,LaNina,105,108,113,180,229,NA,NA,334,346,1.8,0.6,3.5,8.4,16.2,20.5,22.3,25.6,19.5,13.9,8,3.2,11.7,9.366666666666667,22.8,13.799999999999999,0.9333333333333335,2.2333333333333334
2007,LaNina,LaNina,LaNina,88,103,109,185,221,318,324,331,345,1.7,1.8,3.6,9.2,16,20.8,21.7,25.6,22.2,14.2,7.1,2.9,12.2,9.6,22.7,14.5,2.2333333333333334,1.4000000000000001
2008,LaNina,LaNina,ElNino,93,102,106,194,226,310,328,330,346,0.5,0.8,5,10.9,15.8,19.9,24.4,23.9,20.4,14.4,7.2,2.8,12,10.566666666666668,22.73333333333333,14,1.4000000000000001,1.5
2009,ElNino,ElNino,LaNina,92,101,103,184,219,317,324,331,347,0.7,1,4,10.6,17,20.4,23.3,23.6,19,13.8,8.6,2.9,12.1,10.533333333333333,22.433333333333337,13.799999999999999,1.5,1.3333333333333333
2010,LaNina,LaNina,LaNina,82,109,115,186,236,319,328,328,340,0.8,0.3,3.4,7.8,15.4,21.7,25.5,27.7,21.3,14.8,7.7,3.5,12.5,8.866666666666667,24.96666666666667,14.600000000000001,1.3333333333333333,1.7999999999999998
